date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance,kalshi_mean_c,kalshi_median_c,kalshi_mode_c,kalshi_variance_c,kalshi_skew_c,kalshi_kurt_c
2021-07-20,FED-21JUL,2021-07-26,0.00510204081632653,0,0,1,43.08511875000001,0.00124947938359017,0.00510204081632653,0,0,0.00124947938359017,NA,NA
2021-07-21,FED-21JUL,2021-07-26,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,-0.0025510204081632703,0,0,-6.182319866722191e-4,0,48.01458537371131
2021-07-22,FED-21JUL,2021-07-26,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-07-23,FED-21JUL,2021-07-26,0,0,0,NA,NA,0,-0.00255102040816326,0,0,-6.312473969179509e-4,NA,NA
2021-07-24,FED-21JUL,2021-07-26,0,0,0,NA,NA,0,0,0,0,0,NA,NA
2021-07-25,FED-21JUL,2021-07-26,0,0,0,NA,NA,0,0,0,0,0,NA,NA
2021-07-26,FED-21JUL,2021-07-26,0,0,0,NA,NA,0,0,0,0,0,NA,NA
2021-07-30,FED-21SEP,2021-09-13,0.00510204081632653,0,0,1,43.08511875000001,0.00124947938359017,NA,NA,NA,NA,NA,NA
2021-07-31,FED-21SEP,2021-09-13,0.00510204081632653,0,0,1,43.08511875000001,0.00124947938359017,0,0,0,0,0,0
2021-08-01,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,-0.0025510204081632703,0,0,-6.182319866722191e-4,0,48.01458537371131
2021-08-02,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-03,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-04,FED-21SEP,2021-09-13,0.00765306122448979,0,0,1,27.0873505263158,0.00185469596001665,0.005102040816326529,0,0,0.001223448563098699,0,-64.01235359739552
