prediction_date,contract_preamble.x,horizon_date,kalshi_mean_c.x,kalshi_median_c.x,kalshi_mode_c.x,kalshi_skew_c.x,kalshi_variance_c.x,kalshi_kurt_c.x,shock.x,contract_preamble.y,kalshi_mean,kalshi_median,kalshi_mode,kalshi_skew,kalshi_variance,kalshi_mean_c.y,kalshi_median_c.y,kalshi_mode_c.y,kalshi_skew_c.y,kalshi_variance_c.y,kalshi_kurt_c.y,ticker_name,shock.y
2022-01-26,FED-22JAN,2022-01-26,-0.23724489795918366,-0.25,-0.25,2.000000000000001,-6.052165764264799e-4,15.997768223684222,0.00132416290340182,FED-22JAN,0.13010204081632654,0.125,0.125,1,0.00124947938359017,-0.00255102040816324,0,0,0,-6.052165764264799e-4,15.997768223684208,FDTR Index,0.00132416290340182
2022-01-26,FED-22JUN,2022-06-15,0.44642857142857145,0.5,0.5,-2.000000000000001,0.013620626822157431,-37.72359834815944,0.00132416290340182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-26,FED-22MAR,2022-03-16,-0.163265306122449,-0.25,-0.25,1.6521739130434794,-0.00166597251145356,-4.577421461876646,0.00132416290340182,FED-22MAR,0.413265306122449,0.375,0.375,0.6521739130434784,0.01320413369429404,0.00510204081632659,0,0,0.20389805097451263,-0.00419096209912535,0.5470112856429314,FDTR Index,0.00132416290340182
2022-01-26,FED-22MAY,2022-05-04,-0.0459183673469388,0,0,-1.6521739130434794,-0.011349437734277391,26.303251586351866,0.00132416290340182,FED-22MAY,0.36734693877551017,0.375,0.375,-1.000000000000001,0.00185469596001665,0,0,0,0,0,0,FDTR Index,0.00132416290340182
2022-03-16,FED-22JUL,2022-07-27,0.41836734693877553,0.5,0.5,-0.5855072463768121,0.02748854643898377,0.522121978373979,0.0602996668675622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,FED-22JUN,2022-06-15,-0.1377551020408163,-0.25,-0.25,0.748219110783592,-0.031028738025822587,0.6877843084586068,0.0602996668675622,FED-22JUN,0.989795918367347,0.875,0.875,0.7627118644067796,0.03465352977925864,0.0178571428571429,-0.25,-0.25,1.53194263363755,-0.03247995626822157,-0.01133453812090401,FDTR Index,0.0602996668675622
2022-03-16,FED-22MAR,2022-03-16,-0.604591836734694,-0.5,-0.5,-0.09604519774011233,-0.02965561224489796,24.031062474555533,0.0602996668675622,FED-22MAR,0.3852040816326531,0.375,0.375,0.6666666666666673,0.00499791753436068,-0.00255102040816329,0,0,-0.04761904761904934,-5.791857559350301e-4,5.11930824354441,FDTR Index,0.0602996668675622
2022-03-16,FED-22MAY,2022-05-04,0.3341836734693878,0.25,0.25,0.15555555555555545,0.02116956476468139,-24.684460311234407,0.0602996668675622,FED-22MAY,0.7193877551020409,0.625,0.625,0.8222222222222227,0.02616748229904207,0.01020408163265307,0,0,0.2222222222222231,-0.01202623906705538,0.5565084501537094,FDTR Index,0.0602996668675622
2022-05-04,FED-22JUL,2022-07-27,-0.2066326530612248,-0.5,-0.5,0.94736842105263,-0.08715769471053728,1.2010924933076206,-0.01558396665259873,FED-22JUL,1.8647959183673468,1.875,1.875,-0.0526315789473702,0.0993856726364015,-0.16071428571428625,-0.25,-0.5,0.26968247063940676,-0.05079263848396501,1.2733464107374686,FDTR Index,-0.01558396665259873
2022-05-04,FED-22JUN,2022-06-15,-0.47448979591836715,-0.5,-0.5,0.6526315789473643,-0.09196688879633487,10.018296094999014,-0.01558396665259873,FED-22JUN,1.3903061224489797,1.375,1.375,0.5999999999999941,0.00741878384006663,-0.01530612244897944,0,0,0.3692307692307639,-0.03756247396917952,10.32822913386029,FDTR Index,-0.01558396665259873
2022-05-04,FED-22MAY,2022-05-04,-0.5127551020408164,-0.5,-0.5,-0.26666666666666405,-0.00551202623906705,16.679049469876865,-0.01558396665259873,FED-22MAY,0.8775510204081632,0.875,0.875,0.33333333333333004,0.00190675760099958,0.00765306122448972,0,0,0.5333333333333281,-0.00444476259891711,22.267125519079517,FDTR Index,-0.01558396665259873
2022-05-04,FED-22SEP,2022-09-21,1.0918367346938775,1.25,1.25,-1.105485232067508,0.09058725531028738,-27.542890571462685,-0.01558396665259873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-15,FED-22JUL,2022-07-27,-0.2321428571428572,-0.25,-0.5,-0.14767255216693742,-0.07010750728862972,-2.7766831757473183,0.04991231218216219,FED-22JUL,2.329081632653061,2.375,2.375,-0.42857142857143055,0.03233027905039567,0.00510204081632625,0,0,-0.08374384236453436,-0.01481153685964182,1.3980162080279834,FDTR Index,0.04991231218216219
2022-06-15,FED-22JUN,2022-06-15,-0.714285714285714,-0.75,-0.75,0.17857142857143846,-0.022230320699708463,1.3273109272564296,0.04991231218216219,FED-22JUN,1.614795918367347,1.625,1.625,-0.2499999999999921,0.01009995835068721,0.03061224489795933,0,0,0.36538461538462386,-0.00736672219908371,0.7774629123113694,FDTR Index,0.04991231218216219
2022-06-15,FED-22NOV,2022-11-02,1.52295918367347,1.5,2.25,0.27958579881656065,0.2569567367763432,-3.929170890474979,0.04991231218216219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-15,FED-22SEP,2022-09-21,-0.5331632653061238,-0.5,-1.5,-0.11121845187779222,-0.15650380049979176,2.035671294155956,0.04991231218216219,FED-22SEP,2.604591836734693,2.625,2.375,-0.08163265306122369,0.11055289462723863,0.04336734693877497,0,-0.5,0.19926622334326943,0.00811510828821324,-3.3428718448099124,FDTR Index,0.04991231218216219
2022-07-27,FED-22DEC,2022-12-14,0.4234693877551017,0.5,0.5,-0.5099067599067559,0.12710849645980843,0.7866955373116769,0.00268509001227989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,FED-22JUL,2022-07-27,-1.0178571428571432,-1,-1,0.3324175824175563,-0.1709639212827989,8.55339866620199,0.00268509001227989,FED-22JUL,2.38265306122449,2.375,2.375,0.42857142857140573,0.00440571636817992,-0.0102040816326534,0,0,-0.2077922077922283,-0.00229071220324865,5.300502135650639,FDTR Index,0.00268509001227989
2022-07-27,FED-22NOV,2022-11-02,0.8750000000000004,0.75,0.75,0.19047619047621556,0.07748724489795919,-9.019505022573885,0.00268509001227989,FED-22NOV,3.2576530612244903,3.125,3.125,0.6190476190476213,0.08189296126613911,-0.04336734693877542,-0.25,-0.25,0.9377289377289384,-0.01403711995002085,1.0057779400835103,FDTR Index,0.00268509001227989
2022-07-27,FED-22SEP,2022-09-21,-0.3188775510204085,-0.25,-0.25,-0.10884353741496355,-0.04067966472303207,0.547515282521637,0.00268509001227989,FED-22SEP,2.938775510204082,2.875,2.875,0.5102040816326577,0.04121329654310704,-0.0382653061224496,0,0,-0.09585652442794756,-0.0070478446480633,0.8681044634614192,FDTR Index,0.00268509001227989
2022-09-21,FED-22DEC,2022-12-14,-0.1811224489795915,0,0,-0.7025862068965536,-0.16621329654310707,1.3366227692414132,0.05468385044838118,FED-22DEC,4.278061224489797,4.375,4.375,-0.4750000000000008,0.07351103706788838,0.06122448979591866,0.25,0.25,-0.9035714285714314,-0.00989171178675553,-0.18076866207166575,FDTR Index,0.05468385044838118
2022-09-21,FED-22NOV,2022-11-02,-0.4591836734693877,-0.5,-0.5,-0.1720588235294072,-0.05242607246980425,-0.36424195270059845,0.05468385044838118,FED-22NOV,3.818877551020409,3.875,3.875,-0.647058823529408,0.02108496459808413,0.03316326530612334,0,0,0.09762202753442271,-0.00601962723865056,0.7303058508266105,FDTR Index,0.05468385044838118
2022-09-21,FED-22SEP,2022-09-21,-0.6760204081632666,-0.75,-0.75,1.283422459893058,-0.014388536026655558,4.418093029478484,0.05468385044838118,FED-22SEP,3.1428571428571423,3.125,3.125,0.6363636363636499,0.00669642857142857,0.00510204081632625,0,0,-0.07792207792205119,0.0023948354852145,-4.72371177570092,FDTR Index,0.05468385044838118
2022-09-21,FED-23FEB,2023-02-01,1.4566326530612255,1.5,1.75,-0.7067861715749186,0.20566300499791754,-5.040002028262046,0.05468385044838118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-02,FED-22DEC,2022-12-14,-0.6530612244897949,-0.75,-0.5,0.867267837367515,-0.20788213244481465,0.5265893081722011,-0.03510445112292556,FED-22DEC,4.469387755102041,4.375,4.375,0.8604651162790764,0.0236164618908788,0.00765306122448983,0,0,0.1804651162790778,-0.00967695751770095,-3.7692361867225217,FDTR Index,-0.03510445112292556
2022-11-02,FED-22NOV,2022-11-02,-0.6045918367346936,-0.5,-0.5,-1.8604651162790664,-0.02116956476468139,18.97539819916039,-0.03510445112292556,FED-22NOV,3.864795918367347,3.875,3.875,-0.99999999999999,0.00244689712619741,-0.00255102040816312,0,0,-0.39999999999998714,-6.833090379008799e-4,3.5119871517773227,FDTR Index,-0.03510445112292556
2022-11-02,FED-23FEB,2023-02-01,0.9846938775510199,1,1,0.880952380952369,0.10404518950437316,-17.34929950482884,-0.03510445112292556,FED-23FEB,4.849489795918367,4.875,4.875,-0.119047619047621,0.10649208663057058,0.01530612244897877,0,0,0.10952380952380532,0.03800499791753435,0.3011441393245804,FDTR Index,-0.03510445112292556
2022-11-02,FED-23MAR,2023-03-22,0.20153061224489743,0.125,0,-0.13312629399585746,0.0315298313202832,-1.8879859828986578,-0.03510445112292556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
