contract_preamble,datetime_6h_utc,datetime_6h_et,expiry_datetime,date,strike,yes_price,interval_volume,adjusted_yes_price,probability,swapped
CPICOREYOY-23SEP,2023-09-23T06:00:00Z,2023-09-23 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T12:00:00Z,2023-09-23 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T18:00:00Z,2023-09-23 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T00:00:00Z,2023-09-23 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T06:00:00Z,2023-09-24 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T12:00:00Z,2023-09-24 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T18:00:00Z,2023-09-24 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-25T00:00:00Z,2023-09-24 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T06:00:00Z,2023-09-25 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T12:00:00Z,2023-09-25 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T18:00:00Z,2023-09-25 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T00:00:00Z,2023-09-25 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T06:00:00Z,2023-09-26 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T12:00:00Z,2023-09-26 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T18:00:00Z,2023-09-26 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T00:00:00Z,2023-09-26 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T06:00:00Z,2023-09-27 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T12:00:00Z,2023-09-27 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T18:00:00Z,2023-09-27 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-28T00:00:00Z,2023-09-27 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-28,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-28T06:00:00Z,2023-09-28 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-28,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-28T12:00:00Z,2023-09-28 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-28,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-28T18:00:00Z,2023-09-28 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-28,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-29T00:00:00Z,2023-09-28 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-29,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-29T06:00:00Z,2023-09-29 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-29,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-29T12:00:00Z,2023-09-29 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-29,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-29T18:00:00Z,2023-09-29 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-29,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-30T00:00:00Z,2023-09-29 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-30,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-09-30T06:00:00Z,2023-09-30 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-30,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-09-30T12:00:00Z,2023-09-30 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-30,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-09-30T18:00:00Z,2023-09-30 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-30,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-01T00:00:00Z,2023-09-30 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-01,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-01T06:00:00Z,2023-10-01 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-01,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-01T12:00:00Z,2023-10-01 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-01,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-01T18:00:00Z,2023-10-01 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-01,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-02T00:00:00Z,2023-10-01 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-02,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-02T06:00:00Z,2023-10-02 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-02,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-02T12:00:00Z,2023-10-02 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-02,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-02T18:00:00Z,2023-10-02 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-02,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-03T00:00:00Z,2023-10-02 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-03,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-03T06:00:00Z,2023-10-03 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-03,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-03T12:00:00Z,2023-10-03 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-03,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-03T18:00:00Z,2023-10-03 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-03,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-04T00:00:00Z,2023-10-03 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-04,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-04T06:00:00Z,2023-10-04 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-04,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-04T12:00:00Z,2023-10-04 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-04,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-04T18:00:00Z,2023-10-04 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-04,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-05T00:00:00Z,2023-10-04 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-05,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-05T06:00:00Z,2023-10-05 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-05,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-05T12:00:00Z,2023-10-05 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-05,2.4,0,NA,98,0,FALSE
